fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
04/07/2020,-56.44525758,-61.41723747,-85.11484168,-55.59650814,-46.26098372,-57.12142523,-45.03803476,-34.8260067,-57.92297729
05/07/2020,-59.8931281,-62.21713672,-85.2371218,-63.41258308,-55.40283176,-64.12505375,-50.32660458,-36.35522388,-59.06763181
06/07/2020,-56.453295,-61.64049643,-85.1487935,-52.85820914,-44.44957563,-74.09620755,-47.72079718,-29.53709487,-65.92847362
07/07/2020,-57.84089655,-64.06129828,-86.79948717,-57.60695372,-44.33593315,-75.20068552,-54.79229894,-34.59852983,-68.01615233
08/07/2020,-57.99922881,-64.00297757,-86.13416895,-55.93407713,-45.56440213,-74.53959321,-50.99541071,-33.38835265,-66.62018108
09/07/2020,-57.58642623,-64.0837443,-87.63601761,-55.65134642,-46.21461813,-76.78292059,-52.21595231,-35.94437845,-67.31594812
10/07/2020,-55.93477073,-63.24179889,-85.92623334,-49.3205134,-44.06533685,-69.97980396,-51.4238966,-33.02815742,-66.75260145
11/07/2020,-53.13938077,-58.92556711,-84.42595178,-51.28897458,-44.32482301,-49.95001732,-43.17801074,-31.7836877,-55.55379343
12/07/2020,-56.7929478,-58.00293691,-82.87888546,-62.76715792,-54.73438804,-57.89770459,-47.05971596,-38.03880597,-57.21856093
13/07/2020,-54.95301042,-61.53577961,-85.05691007,-57.49605231,-42.79326665,-71.08967601,-46.49421995,-28.37809702,-64.76242331
14/07/2020,-55.40060972,-63.43265351,-84.55646563,-51.91794172,-43.44603351,-71.95450941,-51.07080929,-33.12128923,-66.62383852
15/07/2020,-54.9886934,-61.75809074,-85.70937049,-50.58003498,-43.33112858,-70.29234792,-48.36712891,-27.33861997,-64.59964291
16/07/2020,-55.25570234,-61.67358823,-84.99605083,-50.88223802,-42.66057962,-69.77019605,-49.16771329,-29.61358396,-65.138526
17/07/2020,-54.52649593,-61.94951045,-85.68467633,-48.4976084,-42.52285024,-68.18423642,-48.55498574,-31.09171744,-65.01197943
18/07/2020,-51.3668585,-56.87947106,-83.62526835,-48.96395342,-43.86033211,-50.26474996,-39.79167552,-28.09872154,-52.21896228
19/07/2020,-56.45332875,-56.05194025,-84.1536078,-60.43407271,-53.57309178,-49.53816523,-44.0507396,-29.6119403,-54.17837079
20/07/2020,-52.41042802,-59.14987407,-84.11619875,-46.75066473,-41.83803237,-69.18838242,-42.30420481,-23.36733986,-63.5462377
21/07/2020,-55.29756635,-61.43466117,-85.60865793,-49.83037347,-42.65486726,-69.12622415,-50.45365846,-30.28696636,-65.75503896
22/07/2020,-54.47257831,-62.7082385,-84.23844186,-49.37260088,-43.14150622,-69.03695579,-48.80582659,-31.9243604,-64.41845478
23/07/2020,-55.47931325,-61.76240602,-86.16396717,-50.49515975,-42.6565106,-68.35893552,-49.28835506,-30.41017399,-65.22570742
24/07/2020,-54.0447515,-61.23813591,-84.93339308,-46.40943867,-42.6714384,-65.75016647,-48.39256865,-33.58801251,-64.6076896
25/07/2020,-51.7127993,-56.66864563,-84.63594235,-49.98549697,-44.07928405,-49.66525922,-39.98939813,-29.56176933,-52.67535397
26/07/2020,-54.92682806,-57.33284337,-83.08337217,-62.48831865,-53.50824276,-57.77078851,-47.31952463,-73.52835821,-55.66767502
27/07/2020,-52.52656204,-58.96026619,-84.65874853,-47.33760612,-41.22025369,-66.88906102,-46.62890443,-76.70206121,-63.94839837
28/07/2020,-53.82012904,-61.0184976,-84.12296654,-50.5640009,-42.61823197,-66.99999552,-50.44313884,-80.27989822,-65.29057967
29/07/2020,-54.62282986,-61.55113566,-85.75543297,-50.26238987,-44.4978399,-69.38622499,-48.84096499,-81.61397969,-64.3149187
30/07/2020,-54.81018639,-60.65850738,-85.09225651,-51.06912524,-43.92045131,-69.36123219,-48.18347455,-81.23122074,-64.33645689
